,0
0,https://www.tripadvisor.com/Restaurant_Review-g189473-d877383-Reviews-Argofageio-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
1,https://www.tripadvisor.com/Restaurant_Review-g189473-d11924400-Reviews-Menu_me_nou-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
2,https://www.tripadvisor.com/Restaurant_Review-g189473-d966080-Reviews-Kanoula-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
3,https://www.tripadvisor.com/Restaurant_Review-g189473-d6940281-Reviews-Bougatsa_Bantis-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
4,https://www.tripadvisor.com/Restaurant_Review-g189473-d1156850-Reviews-Prytanio-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
5,https://www.tripadvisor.com/Restaurant_Review-g189473-d18980933-Reviews-Mangiare_Gastro_Bar-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
6,https://www.tripadvisor.com/Restaurant_Review-g189473-d3686459-Reviews-Lola_Ouzeri-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
7,https://www.tripadvisor.com/Restaurant_Review-g189473-d14004926-Reviews-Tarantino_Sandwiches_Fries-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
8,https://www.tripadvisor.com/Restaurant_Review-g189473-d14215747-Reviews-Blackhaus-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
9,https://www.tripadvisor.com/Restaurant_Review-g189473-d17455172-Reviews-Sourtoukw_Thessaloniki-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
10,https://www.tripadvisor.com/Restaurant_Review-g189473-d8747043-Reviews-Faidimos-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
11,https://www.tripadvisor.com/Restaurant_Review-g189473-d23450258-Reviews-Brunchsin-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
12,https://www.tripadvisor.com/Restaurant_Review-g189473-d1074569-Reviews-Giannoula-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
13,https://www.tripadvisor.com/Restaurant_Review-g189473-d13001589-Reviews-Loupino-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
14,https://www.tripadvisor.com/Restaurant_Review-g189473-d14397034-Reviews-Evora_Eatery-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
